1673483400.0,17954.88000000,17974.13000000,17927.37000000,17935.31000000,4048.23745000,1673484299999,72649507.90132440,81514,2021.88759000,36285257.36829070,0
1673484300.0,17934.54000000,18297.37000000,17928.51000000,18264.10000000,14074.76054000,1673485199999,254546318.15706620,202067,7472.57463000,135150830.53467400,0
1673485200.0,18264.10000000,18275.40000000,18140.58000000,18151.70000000,10678.15250000,1673486099999,194279723.13115430,159990,5453.63213000,99225806.38635860,0
1673486100.0,18151.69000000,18224.60000000,18148.60000000,18196.85000000,4305.29050000,1673486999999,78288030.23337260,90947,2202.87018000,40057348.29599470,0
1673487000.0,18197.85000000,18199.90000000,18157.82000000,18186.51000000,3655.58376000,1673487899999,66457762.35642170,82783,1817.45939000,33042049.35821640,0
1673487900.0,18186.51000000,18292.56000000,18183.29000000,18221.51000000,5100.77408000,1673488799999,93017750.55625240,98896,2632.22943000,47999676.37296700,0
1673488800.0,18222.31000000,18282.63000000,18211.70000000,18260.64000000,4233.33852000,1673489699999,77274639.27507170,82642,2163.06402000,39484994.89275980,0
1673489700.0,18260.64000000,18265.48000000,18230.00000000,18252.07000000,3114.38136000,1673490599999,56836366.35126750,69121,1501.73130000,27406577.32334130,0
1673490600.0,18252.08000000,18283.49000000,18229.29000000,18264.71000000,2891.92845000,1673491499999,52791517.85167740,63703,1529.49832000,27921061.01823540,0
1673491500.0,18264.71000000,18385.71000000,18179.49000000,18207.54000000,8728.74604000,1673492399999,159343975.03331830,125296,4483.15402000,81854269.35574260,0
1673492400.0,18206.85000000,18240.17000000,18196.83000000,18217.07000000,3829.04347000,1673493299999,69756917.17151230,82269,1908.47525000,34768925.33544620,0
1673493300.0,18217.88000000,18233.16000000,18201.35000000,18219.23000000,2221.83804000,1673494199999,40477677.48664320,57058,1100.93319000,20057262.84097630,0
1673494200.0,18219.23000000,18238.64000000,18211.46000000,18228.08000000,2155.89754000,1673495099999,39293801.81967190,53542,1108.20268000,20198522.24537420,0
1673495100.0,18228.75000000,18234.48000000,18220.45000000,18224.68000000,1824.02519000,1673495999999,33245540.12918850,46494,870.17106000,15860573.15805040,0
1673496000.0,18224.68000000,18229.51000000,18208.86000000,18219.79000000,2117.56576000,1673496899999,38580327.84804470,53228,1085.42386000,19775939.36610640,0
